dup_carrying_indid,anc_gc,derived_pop,repl_id,init_dupl_genotype_fitness,rel_sel_adv_dupG_init_pop_mean,rel_sel_adv_dupG_init_pop_min,rel_sel_adv_dupG_init_pop_max,rel_sel_adv_dupG_init_pop_std,rel_sel_adv_dupG_init_pop_median,rel_sel_adv_dupG_init_pop_MAD,rel_sel_adv_dupG_init_pop_Q75,rel_sel_adv_dupG_init_pop_IQR,pop_freq_dupl_carrying_genotype,rank_in_pop_dupl_genotype_fitness,max_dup_freq_attained,longest_time_window_dupl_nearly_fixed,t2fixation,simulated_geners
390,1,2,15,0.601672050161,8.63222826975,2.33376392656,316.459075697,9.97980959541,8.13557918287,0.602870165185,8.54220892999,0.791286298915,0.001,1,1.0,1990,10,2000
746,1,2,16,0.611835104412,8.79522184754,2.39007570577,321.821388618,10.1483633451,8.29075836484,0.611768188852,8.70338973772,0.804652194143,0.001,1,1.0,1830,10,1840
962,1,2,17,0.569804243023,8.12113435308,2.1571897516,299.644725428,9.45122585952,7.65170948107,0.570938899393,8.0368019167,0.749375495251,0.001,1,1.0,1774,64,1838
814,1,2,18,0.573204179199,8.17569519853,2.17602822776,301.438627265,9.50762541046,7.70333292966,0.574345605892,8.09072315391,0.753846906067,0.001,1,1.0,1991,12,2003
349,1,2,19,0.594448208661,8.51611154921,2.29373783228,312.647573991,9.86000138039,8.02589488556,0.595631938783,8.42764252316,0.781785896157,0.001,1,1.0,1797,62,1859
728,1,2,20,0.595202869476,8.52850011068,2.2979192813,313.045754237,9.87251336835,8.03735339296,0.596388102361,8.43961105515,0.782778384945,0.001,1,1.0,1828,13,1841
812,1,2,21,0.615244244827,8.84989069542,2.40896518108,323.62014687,10.2049024911,8.34252639775,0.615176956413,8.75745694941,0.809135709873,0.001,1,1.0,1790,29,1819
876,1,2,22,0.606183256273,8.70464721143,2.35875976307,318.839314769,10.0546242091,8.20493466005,0.606116958847,8.61375433621,0.797219191405,0.001,1,1.0,1784,16,1975
686,1,2,23,0.602569832774,8.64662242342,2.33873838946,316.932771024,9.99469984029,8.15006457439,0.602503930544,8.55644729999,0.792467013694,0.001,1,1.0,1838,13,1851
242,1,2,24,0.56175902867,7.99217910472,2.11261256809,295.399844331,9.31777180344,7.529553744,0.562877664531,7.90920895934,0.738794867669,0.001,1,1.0,1806,42,1860
